vessel_id,block,출발지,목적지,바지,슬롯,병렬,슬롯면적,블록면적,유휴면적,슬롯길이,슬롯너비,슬롯높이,블록길이,블록너비,블록높이
SN2661,T711P,사내,덕곡1,0.0,0.0,True,365.69998,206.85,158.84998168945313,23.0,15.9,100.0,19.7,10.5,3.5
SN2628,E541S,사내,덕곡1,0.0,1.0,False,365.69998,201.29999999999998,164.39998168945314,23.0,15.9,100.0,16.5,12.2,2.5
SN2637,D340P,사내,덕곡1,0.0,2.0,False,365.69998,284.85,80.8499816894531,23.0,15.9,100.0,21.1,13.5,4.4
SN2661,A412S,사내,덕곡1,0.0,0.0,True,414.0,163.79999999999998,250.20000000000002,23.0,18.0,100.0,15.6,10.5,3.2
SN2599,D500S,사내,덕곡2,0.0,0.0,False,270.9,90.3,180.59999389648436,21.0,12.9,5.0,8.6,10.5,2.4
SN2661,A412P,사내,봉암8,0.0,0.0,False,342.69998,163.79999999999998,178.89998168945314,23.0,14.9,5.8,15.6,10.5,3.2
SN2610,T121S,사내,봉암8,0.0,1.0,False,342.69998,221.1,121.59998168945313,23.0,14.9,5.8,16.5,13.4,2.9
SN2638,T310S,사내,HSG성동,0.0,0.0,False,550.0,251.80999999999997,298.19000000000005,25.0,22.0,100.0,16.9,14.9,2.8
SN2609,S110P,사내,HSG성동,0.0,1.0,False,550.0,463.84000000000003,86.15999999999997,25.0,22.0,100.0,22.3,20.8,8.1
SN2631,D32AS,사내,HSG성동,0.0,2.0,False,550.0,178.5,371.5,25.0,22.0,100.0,17.0,10.5,2.2
SN2466,E530S,HSG성동,사내,0.0,0.0,False,,274.95,,,,,19.5,14.1,6.7
SN2466,E530P,HSG성동,사내,0.0,1.0,False,,274.95,,,,,19.5,14.1,6.7
SN2661,E120S,사내,HSG성동,1.0,0.0,False,550.0,262.15,287.85,25.0,22.0,100.0,24.5,10.7,7.9
SN2599,F410P,사내,HSG성동,1.0,1.0,False,550.0,243.35999999999999,306.64,25.0,22.0,100.0,16.9,14.4,8.3
SN2599,F220C,사내,오비,0.0,0.0,False,397.5,272.48,125.01999999999998,25.0,15.9,100.0,20.8,13.1,4.2
SN2639,M510S,사내,오비,0.0,1.0,False,472.5,414.75,57.75,25.0,18.9,100.0,23.7,17.5,3.7
SN2661,E160P,사내,오비,0.0,2.0,False,397.5,326.59999999999997,70.90000000000003,25.0,15.9,100.0,23.0,14.2,7.9
SN2661,E160S,사내,신한내,0.0,0.0,False,690.0,326.59999999999997,363.40000000000003,30.0,23.0,100.0,23.0,14.2,7.9
SN2661,A411P,사내,신한내,0.0,1.0,True,690.0,143.85,546.15,30.0,23.0,100.0,13.7,10.5,6.6
SN2637,D310P,사내,신한내,0.0,2.0,False,690.0,281.52,408.48,30.0,23.0,100.0,20.7,13.6,5.3
SN2640,E332S,사내,신한내,0.0,1.0,True,690.0,165.9,524.1,30.0,23.0,100.0,15.8,10.5,2.5
SN2631,T121S,사내,신한내,1.0,0.0,False,690.0,221.1,468.9,30.0,23.0,100.0,16.5,13.4,2.9
SN2640,E332P,사내,신한내,1.0,1.0,True,690.0,165.9,524.1,30.0,23.0,100.0,15.8,10.5,2.5
SN2661,T711S,사내,신한내,1.0,1.0,True,690.0,206.85,483.15,30.0,23.0,100.0,19.7,10.5,3.5
SN2661,R382S,사내,신한내,1.0,2.0,True,690.0,64.05,625.95,30.0,23.0,100.0,6.1,10.5,5.1
SN2661,E313S,사내,신한내,1.0,2.0,True,690.0,88.2,601.8,30.0,23.0,100.0,8.4,10.5,4.4
SN2661,A220P,사내,신한내,1.0,3.0,False,690.0,237.69000000000003,452.30999999999995,30.0,23.0,100.0,17.1,13.9,6.5
SN2599,D500P,사내,신한내,2.0,0.0,False,690.0,90.3,599.7,30.0,23.0,100.0,8.6,10.5,2.4
SN2591,D560C,한내,사내,0.0,0.0,True,,95.55,,,,,9.1,10.5,5.8
SN2466,H180P,한내,사내,0.0,0.0,True,,192.15,,,,,18.3,10.5,4.8
SN2466,H390S,한내,사내,0.0,1.0,False,,219.45,,,,,20.9,10.5,2.7
SN2637,F530C,사내,한내,0.0,0.0,False,402.3,220.5,181.79998779296875,27.0,14.9,100.0,21.0,10.5,3.3
SN2661,E120P,사내,한내,0.0,1.0,False,402.3,262.15,140.14998779296877,27.0,14.9,100.0,24.5,10.7,7.9
SN2637,F430C,사내,한내,0.0,2.0,False,402.3,308.25,94.04998779296875,27.0,14.9,100.0,22.5,13.7,8.2
SN2661,R350S,사내,오비3,0.0,0.0,False,272.5,64.05,208.45,25.0,10.9,100.0,6.1,10.5,5.2
