구분,부문,대지번
사내,생산2,01BAY
사내,생산2,02BAY
사내,생산2,03BAY
사내,생산2,11BAY
사내,생산1,1D
사내,생산2,21BAY
사내,생산2,22BAY
사내,생산2,23BAY
사내,생산2,24BAY
사내,생산2,25BAY
사내,생산3,2A3
사내,생산3,2A4
사내,생산3,2A5
사내,생산3,2A6
사내,생산3,2A7
사내,생산3,2A8
사내,생산3,2B1
사내,생산3,2B2
사내,생산3,2B3
사내,생산3,2B4
사내,생산3,2B5
사내,생산3,2B6
사내,생산3,2B7
사내,생산3,2B8
사내,생산3,2B9
사내,생산3,2C1
사내,생산3,2C4
사내,생산3,2C5
사내,생산3,2C6
사내,생산3,2C9
사내,생산1,2D
사내,생산2,2P1
사내,생산2,2P2
사내,생산2,2P3
사내,생산2,2P4
사내,생산2,2P5
사내,생산2,2P6
사내,생산2,2P7
사내,생산2,2PA
사내,생산1,2Q
사내,생산2,32BAY
사내,생산2,33BAY
사내,생산2,34BAY
사내,생산2,35BAY
사내,생산2,36BAY
사내,생산2,3A
사내,생산2,3B
사내,생산2,3C
사내,생산2,3D
사내,생산2,3E
사내,생산2,3F
사내,생산2,3G
사내,생산2,3H
사내,생산2,3I
사내,생산2,3J
사내,생산2,3K
사내,생산2,3L
사내,생산2,3M
사내,생산2,3N
사내,생산2,3O
사내,생산2,3P
사내,생산2,3Q
사내,생산2,3R25
사내,생산2,3R26
사내,생산2,3R30
사내,생산2,3R31
사내,생산2,3R32
사내,생산2,3R34
사내,생산2,3R35
사내,생산2,3R38
사내,생산2,3R42
사내,생산2,3R43
사내,생산2,3R46
사내,생산2,3R51
사내,생산2,3R52
사내,생산2,3R58
사내,생산2,3R66
사내,생산2,3R81
사내,생산2,3U
사내,생산2,3UN
사내,생산2,51BAY
사내,생산2,52BAY
사내,생산2,53BAY
사내,생산2,55BAY
사내,생산2,57A
사내,생산2,57B
사내,생산2,57C
사내,생산2,57D
사내,생산2,5K
사내,생산2,5P
사내,생산2,61BAY
사내,생산2,62BAY
사내,생산2,63BAY
사내,생산2,66BAY
사내,생산2,67BAY
사내,생산2,68
사내,생산2,7Q
사내,생산2,8QA
사내,생산2,8QB
사내,생산2,8QC
사내,생산1,A4
사내,생산1,AA
사내,생산1,AB
사내,생산1,BA
사내,생산1,BB
사내,생산1,BC
사외,봉암8,BNG8
사외,봉암8,BNG8RD
사외,봉암9,BNG9
사외,봉암9,BNG9RD
사내,생산1,C2
사내,생산1,C3
사내,생산1,C4
사내,생산1,CA
사내,생산1,CB
사내,생산1,DA
사내,생산1,DB
사외,덕곡1,DK1
사외,덕곡1,DK1RD
사외,덕곡2,DK2
사외,덕곡2,DK2RD
사내,생산1,E0
사내,생산1,E1
사내,생산1,E5BAY
사내,생산1,FA
사내,생산1,FB
사내,생산1,FC
사내,생산2,FD2
사내,생산2,FD3
사내,생산2,FD4
사내,생산2,FQ
사내,생산1,GA
사내,생산2,GC01
사내,생산2,GC02
사내,생산2,GC03
사내,생산1,HA
사내,생산1,HB
사외,신한내,HNA
사외,신한내,HNB
사외,신한내,HNC
사외,신한내,HND
사외,신한내,HNE
사외,신한내,HNRD01
사외,신한내,HNRD02
사외,HSG성동,HSG1
사외,HSG성동,HSG2
사외,HSG성동,HSGK
사외,한내,HZ01
사외,한내,HZ02
사외,한내,HZ03
사외,한내,HZ04
사외,한내,HZ05
사외,한내,HZ06
사외,한내,HZ07
사외,한내,HZRD
사내,생산1,IA
사내,생산1,IB
사내,생산1,IC
사내,생산1,ID
사내,생산1,JA
사내,생산1,JB
사내,생산1,JC
사내,생산1,KA
사내,생산1,KB
사내,생산2,LD
사내,생산1,N0BAY
사내,생산1,N1BAY
사내,생산1,N2BAY
사내,생산1,N3BAY
사내,생산1,N4BAY
사내,생산1,N5
사내,생산1,NA
사내,생산1,NB
사내,생산1,NC
사내,생산1,OA
사내,생산1,OB
사외,오비,OBI
사외,오비,OBI3
사외,오비,OBI4
사외,오비,OBIRD
사내,생산1,OC
사내,생산1,OD
사내,생산1,OE
사내,추가능력,OFD
사내,생산1,P0BAY
사내,생산1,P4
사내,생산1,PB00
사내,생산3,PB01
사내,생산1,PB02
사내,생산1,PB03
사내,생산1,PB04
사내,생산3,PB05
사내,생산3,PB06
사내,생산2,PS2
사내,생산2,PS3
사내,생산2,PS4
사내,생산2,PS5
사내,생산1,PT1A
사내,생산1,PT1B
사내,생산1,PT2A
사내,생산1,PT2B
사내,생산1,PT3
사내,생산3,PT4
사내,생산3,PT5
사내,생산3,PT6
사내,생산3,PT7
사내,생산3,QA
사내,생산2,QP
사내,생산1,R2BAY
사내,생산2,RD100
사내,생산2,RD101
사내,생산2,RD103
사내,생산2,RD104
사내,생산2,RD105
사내,생산1,RD20
사내,생산1,RD22
사내,생산1,RD30
사내,생산1,RD34
사내,생산1,RD37
사내,생산1,RD38
사내,생산1,RD40
사내,생산1,RD50
사내,생산1,RD54
사내,생산1,RD60
사내,생산1,RD70
사내,생산1,RD73
사내,생산1,RD74
사내,생산1,RD75
사내,생산1,RD76
사내,생산3,RD86
사내,생산3,RD88
사내,생산3,RD90
사내,생산3,RD97
사내,생산3,RD98
사내,생산2,RPS1
사내,생산1,S1A
사내,생산1,S1B
사내,생산1,S2
사내,생산2,SGA
사내,생산2,SGB
사내,생산2,SGC
사내,생산2,SGD
사내,생산2,SGE
사내,생산2,SGH
사내,생산2,SGO
사내,생산1,TO1D
사내,생산1,TO2D
사내,생산1,UA
사내,생산1,UB
사내,생산1,UC
사내,생산1,UE
사내,생산1,UERD
사내,생산1,UF
사내,생산1,UFRD
사내,생산1,VA
사내,생산1,VARD
사내,생산1,VB
사내,생산1,VBRD
사내,생산1,ZungBi
