vessel_id,block,현위치,목적지,바지,슬롯,병렬,슬롯면적,블록면적,유휴면적,슬롯너비,슬롯길이,슬롯높이,블록너비,블록길이,블록높이
I,I9,사내,SY1,0.0,0.0,False,255.0,195.0,60.0,15.0,17.0,1000.0,13.0,15,1.0
G,G7,사내,SY1,0.0,1.0,False,255.0,195.0,60.0,15.0,17.0,1000.0,13.0,15,1.0
P,P16,사내,SY1,0.0,2.0,True,255.0,157.5,97.5,15.0,17.0,1000.0,10.5,15,1.0
H,H8,사내,SY1,0.0,3.0,False,255.0,195.0,60.0,15.0,17.0,1000.0,13.0,15,1.0
N,N14,사내,SY1,0.0,2.0,True,255.0,157.5,97.5,15.0,17.0,1000.0,10.5,15,1.0
AK,AK37,SY1,사내,0.0,0.0,False,,176.0,,,,,11.0,16,2.0
O,O15,사내,SY1,1.0,0.0,True,255.0,157.5,97.5,15.0,17.0,1000.0,10.5,15,1.0
M,M13,사내,SY1,1.0,0.0,True,255.0,157.5,97.5,15.0,17.0,1000.0,10.5,15,1.0
E,E5,사내,SY1,1.0,1.0,True,143.0,105.0,38.0,11.0,13.0,1000.0,10.5,10,1.0
D,D4,사내,SY1,1.0,1.0,True,143.0,105.0,38.0,11.0,13.0,1000.0,10.5,10,1.0
F,F6,사내,SY1,1.0,2.0,True,255.0,105.0,150.0,15.0,17.0,1000.0,10.5,10,1.0
L,L12,사내,SY1,1.0,3.0,False,255.0,195.0,60.0,15.0,17.0,1000.0,13.0,15,1.0
R,R18,사내,SY1,1.0,2.0,True,255.0,157.5,97.5,15.0,17.0,1000.0,10.5,15,1.0
Y,Y25,사내,SY2,0.0,0.0,True,323.0,189.0,134.0,17.0,19.0,1000.0,10.5,18,1.0
X,X24,사내,SY2,0.0,1.0,False,323.0,234.0,89.0,17.0,19.0,1000.0,13.0,18,1.0
AD,AD30,사내,SY2,0.0,0.0,True,323.0,189.0,134.0,17.0,19.0,1000.0,10.5,18,1.0
Z,Z26,사내,SY2,0.0,2.0,True,323.0,189.0,134.0,17.0,19.0,1000.0,10.5,18,1.0
Q,Q17,사내,SY2,0.0,2.0,True,187.0,157.5,29.5,11.0,17.0,1000.0,10.5,15,1.0
A,A1,사내,SY2,0.0,3.0,False,187.0,105.0,82.0,11.0,17.0,1000.0,10.5,10,10.5
U,U21,사내,SY2,1.0,0.0,False,323.0,234.0,89.0,17.0,19.0,1000.0,13.0,18,1.0
K,K11,사내,SY2,1.0,1.0,False,323.0,195.0,128.0,17.0,19.0,1000.0,13.0,15,1.0
AB,AB28,사내,SY2,1.0,2.0,True,323.0,189.0,134.0,17.0,19.0,1000.0,10.5,18,1.0
AC,AC29,사내,SY2,1.0,2.0,True,323.0,189.0,134.0,17.0,19.0,1000.0,10.5,18,1.0
AA,AA27,사내,SY2,1.0,3.0,True,323.0,189.0,134.0,17.0,19.0,1000.0,10.5,18,1.0
B,B2,사내,SY2,1.0,3.0,True,187.0,105.0,82.0,11.0,17.0,1000.0,10.5,10,5.0
AJ,AJ36,사내,SY2,2.0,0.0,False,0.0,315.0,-315.0,0.0,0.0,0.0,15.0,21,1.0
AF,AF32,사내,SY3,-1.0,-1.0,False,399.0,315.0,84.0,19.0,21.0,1000.0,15.0,21,1.0
S,S19,사내,SY3,0.0,0.0,False,399.0,234.0,165.0,19.0,21.0,1000.0,13.0,18,1.0
AG,AG33,사내,SY3,0.0,1.0,False,399.0,315.0,84.0,19.0,21.0,1000.0,15.0,21,1.0
AE,AE31,사내,SY3,0.0,2.0,False,399.0,315.0,84.0,19.0,21.0,1000.0,15.0,21,1.0
J,J10,사내,SY3,1.0,0.0,False,399.0,195.0,204.0,19.0,21.0,1000.0,13.0,15,1.0
W,W23,사내,SY3,1.0,1.0,False,399.0,234.0,165.0,19.0,21.0,1000.0,13.0,18,1.0
AI,AI35,사내,SY3,1.0,2.0,False,399.0,315.0,84.0,19.0,21.0,1000.0,15.0,21,1.0
T,T20,사내,SY3,2.0,0.0,False,399.0,234.0,165.0,19.0,21.0,1000.0,13.0,18,1.0
V,V22,사내,SY3,2.0,1.0,False,399.0,234.0,165.0,19.0,21.0,1000.0,13.0,18,1.0
AH,AH34,사내,SY3,2.0,2.0,False,399.0,315.0,84.0,19.0,21.0,1000.0,15.0,21,1.0
C,C3,사내,SY10,0.0,0.0,False,0.0,105.0,-105.0,0.0,0.0,0.0,10.5,10,6.6
